Topic,Count,Name,Representation,Representative_Docs
-1,20,-1_languages_language_english_servers,"['languages', 'language', 'english', 'servers', 'deepl', 'harassment', 'nfts', 'crypto', 'terrorism', 'exploitation']","['allowed languages german english main languages following languages tolerated dutch french spanish italian', 'english language cannot moderate languages time able moderate english unsupported language accounts suspended see https joinmastodon org servers find server country language', 'languages translated deepl translation integration allowed everybody read posts supported languages listed https support deepl com hc us articles 360019925219 languages included deepl pro']"
0,131,0_racism_hate_transphobia_speech,"['racism', 'hate', 'transphobia', 'speech', 'sexism', 'discrimination', 'homophobia', 'community', 'including', 'respectful']","['respectful racism sexism homophobia transphobia including targeted misgendering deadnaming promotion called conversion therapy xenophobia forms hate discrimination welcome behaviour elsewhere may considered brought attention', 'discrimination including limited racism sexism homophobia transphobia including targeted misgendering deadnaming promotion called conversion therapy', 'discrimination including limited racism sexism homophobia transphobia including targeted misgendering deadnaming promotion called conversion therapy']"
1,97,1_content_sensitive_explicit_nsfw,"['content', 'sensitive', 'explicit', 'nsfw', 'media', 'warning', 'must', 'marked', 'sexually', 'cw']","['explicit nsfw content without content warnings sensitive media markers explicit content must used user avatars header images', 'explicit nsfw content must marked sensitive content warning explicit content must used user avatars header images', 'explicit nsfw content without content warnings sensitive media markers explicit content must used user avatars header images']"
2,72,2_spam_accounts_advertising_commercial,"['spam', 'accounts', 'advertising', 'commercial', 'account', 'email', 'business', 'excessive', 'promotion', 'ads']","['commercial accounts advertising excessive promotion', 'spam includes commercial advertising promotion services seo', 'spam includes commercial advertising promotion services seo']"
3,65,3_illegal_content_united_post,"['illegal', 'content', 'united', 'post', 'laws', 'kingdom', 'germany', 'must', 'created', 'copyrighted']","['content illegal united kingdom', 'content illegal united kingdom', 'content illegal united kingdom']"
4,39,4_false_misleading_information_intentionally,"['false', 'misleading', 'information', 'intentionally', 'share', 'misinformation', 'disinformation', 'health', 'conspiracy', 'military']","['share intentionally false misleading information', 'share intentionally false misleading information', 'share intentionally false misleading information']"
5,36,5_violence_incitement_ideologies_violent,"['violence', 'incitement', 'ideologies', 'violent', 'promotion', 'harm', 'inciting', 'suicide', 'prohibited', 'strictly']","['incitement violence promotion violent ideologies', 'incitement violence promotion violent ideologies', 'incitement violence promotion violent ideologies']"
6,29,6_rules_admins_report_admin,"['rules', 'admins', 'report', 'admin', 'moderators', 'server', 'service', 'team', 'instance', 'users']","['hoosier social admins unilateral authority judgment users violate rules users immediately suspended without appeal admins federate servers whose users act group harass attack server users', 'mastodon servers break rules banned federating nfld possible follow users servers around world federated timeline streams posts servers break rules limited blocked communicating us', 'please report issues admins moderators let us take care please act admin moderator instead report adverse activity team handle properly well make reports admins']"
7,24,7_doxxing_dogpiling_users_harassment,"['doxxing', 'dogpiling', 'users', 'harassment', 'information', 'identifying', 'spam', 'harrassment', 'reporting', 'personally']","['harassment dogpiling doxxing users', 'harassment dogpiling doxxing users', 'harassment dogpiling doxxing users']"
8,19,8_parody_impersonation_clearly_unless,"['parody', 'impersonation', 'clearly', 'unless', 'accounts', 'individuals', 'brand', 'impersonate', 'account', 'figures']","['impersonation individuals public figures organisations unless clearly marked parody', 'impersonation individuals public figures organisations unless clearly marked parody', 'impersonation individuals public figures organisations unless clearly marked parody']"
9,17,9_bot_bots_unlisted_post,"['bot', 'bots', 'unlisted', 'post', 'automated', 'posts', 'accounts', 'per', 'one', 'must']","['automated bot accounts allowed run someone personal account bot accounts must enable bot flag account preferences respect nobot markers post unlisted making one post every six hours average mods may remove bot accounts become disruptive', 'automated bot accounts must enable bot flag account preferences respect nobot markers post unlisted unless making less one post per hour', 'automated bot accounts must enable bot flag account preferences respect nobot markers post unlisted unless making less one post per hour']"
10,12,10_harassment_harass_kind_group,"['harassment', 'harass', 'kind', 'group', 'engage', 'attacks', 'anyone', 'personal', 'unethical', 'bully']","['engage harassment kind', 'repeated targeted harassment individual group unacceptable behaviour may lead temporary permanent suspension', 'harass anyone participate group harassment anyone otherwise engage name calling personal attacks']"
11,12,11_years_18_older_least,"['years', '18', 'older', 'least', '16', 'old', '13', 'must', 'use', 'age']","['use service least 18 years old', 'must older 16 years according european law must least 16 years old use instance', 'must older 16 years according european law must least 16 years old use instance']"
